fechaDay,generacionDiaria
2022-10-1,36.9
2022-10-15,34.9
2022-10-16,34.9
2022-10-17,16.2
2022-10-18,24
2022-10-19,30.2
2022-10-2,34.9
2022-10-20,29.6
2022-10-21,27.1
2022-10-22,41
2022-10-23,19.9
2022-10-24,16.9
2022-10-25,31.8
2022-11-10,34.3
2022-11-11,12.7
2022-11-12,19.3
2022-11-13,13.8
2022-11-14,25.3
2022-11-15,31.8
2022-11-16,31.8
2022-11-17,22.1
2022-11-18,26.9
2022-11-19,25.9
2022-11-20,27.2
2022-11-21,22.7
2022-11-22,28.7
2022-11-23,27.3
2022-11-24,30
2022-11-25,28.1
2022-11-26,15.5
2022-11-27,15.6
2022-11-28,15.7
2022-11-30,26
2022-11-9,34.7
2022-12-1,12.6
2022-12-10,27.9
2022-12-11,22.2
2022-12-12,24.2
2022-12-13,14.8
2022-12-14,14.7
2022-12-15,19.4
2022-12-16,34.4
2022-12-17,32.9
2022-12-18,29.5
2022-12-19,18.5
2022-12-2,9.4
2022-12-20,22.9
2022-12-21,22.9
2022-12-22,28.3
2022-12-23,37.5
2022-12-24,24.4
2022-12-25,11.2
2022-12-26,18.3
2022-12-27,19.8
2022-12-28,14.7
2022-12-29,20.2
2022-12-3,20.5
2022-12-31,16.3
2022-12-4,15.4
2022-12-5,15
2022-12-6,22.8
2022-12-7,8.6
2022-12-8,14.2
2022-12-9,25
2022-9-20,25.9
2022-9-21,36
2022-9-22,35.6
2022-9-23,26.3
2022-9-24,14.4
2022-9-25,21
2022-9-26,18.4
2022-9-27,12.9
2022-9-28,31
2022-9-29,22.2
2022-9-30,35.3
2023-1-1,27.9
2023-1-11,28.4
2023-1-12,29.3
2023-1-13,27.4
2023-1-14,30.7
2023-1-15,24.6
2023-1-16,7.3
2023-1-17,19.2
2023-1-18,20
2023-1-19,28.4
2023-1-2,28.2
2023-1-20,20.3
2023-1-21,19.2
2023-1-22,20.8
2023-1-23,27.4
2023-1-24,14.7
2023-1-25,19.1
2023-1-26,24.9
2023-1-27,26.9
2023-1-28,18.5
2023-1-29,22.8
2023-1-3,12.9
2023-1-30,21.6
2023-1-31,19.6
2023-1-4,17.2
2023-1-5,15.9
2023-1-6,22.1
2023-1-7,21.6
2023-10-1,25.7
2023-10-10,17.6
2023-10-11,22.9
2023-10-12,14.7
2023-10-13,22.3
2023-10-14,17.9
2023-10-15,22.9
2023-10-16,10.5
2023-10-17,16.8
2023-10-18,29.6
2023-10-19,24.4
2023-10-2,22.7
2023-10-20,15.5
2023-10-21,14.1
2023-10-22,8.4
2023-10-23,24
2023-10-24,12
2023-10-28,22.5
2023-10-29,22.5
2023-10-3,23.6
2023-10-31,33
2023-10-4,27.1
2023-10-5,30.8
2023-10-6,14.8
2023-10-7,22.4
2023-10-8,3.9
2023-10-9,28.9
2023-11-1,16.6
2023-11-10,21.9
2023-11-11,18.5
2023-11-12,28.7
2023-11-13,29.9
2023-11-14,25
2023-11-15,23.5
2023-11-16,25
2023-11-17,25
2023-11-18,16.1
2023-11-19,8.7
2023-11-2,24.8
2023-11-20,17.6
2023-11-21,23.2
2023-11-22,28
2023-11-23,28
2023-11-24,17.5
2023-11-25,24.4
2023-11-26,32.1
2023-11-27,14.5
2023-11-28,25.9
2023-11-29,23.3
2023-11-3,16.3
2023-11-30,23.3
2023-11-4,19.1
2023-11-5,36.9
2023-11-6,30.8
2023-11-7,24.6
2023-11-8,19.5
2023-11-9,19.1
2023-12-1,18.8
2023-12-10,8.3
2023-12-11,23.9
2023-12-12,18.9
2023-12-17,17.3
2023-12-18,11.1
2023-12-19,10.1
2023-12-2,14.6
2023-12-20,15.9
2023-12-21,14.4
2023-12-22,21.1
2023-12-23,10
2023-12-24,8.7
2023-12-25,20.7
2023-12-26,11.6
2023-12-27,12.7
2023-12-28,23.4
2023-12-29,21.9
2023-12-3,19.3
2023-12-4,21.2
2023-12-5,13.5
2023-12-6,13.2
2023-12-7,16.5
2023-12-8,16.5
2023-12-9,23.5
2023-2-1,20.5
2023-2-10,18.8
2023-2-11,21.6
2023-2-12,12.1
2023-2-13,19.7
2023-2-14,23.7
2023-2-15,23.2
2023-2-16,23.8
2023-2-17,34.4
2023-2-18,25.8
2023-2-19,13.5
2023-2-2,30.9
2023-2-20,15.5
2023-2-21,7.9
2023-2-22,34.5
2023-2-23,30.9
2023-2-24,27
2023-2-25,28.5
2023-2-26,11.8
2023-2-27,18.5
2023-2-28,24.2
2023-2-3,25.9
2023-2-4,19
2023-2-5,14.2
2023-2-6,19.2
2023-2-8,22.3
2023-2-9,22.3
2023-3-1,18.1
2023-3-10,11.1
2023-3-11,21.8
2023-3-12,26.2
2023-3-13,29.5
2023-3-14,36.9
2023-3-15,17.8
2023-3-16,35.6
2023-3-17,22.3
2023-3-18,24.7
2023-3-19,36.6
2023-3-2,19.5
2023-3-20,17.8
2023-3-21,26.7
2023-3-22,29.7
2023-3-23,33.1
2023-3-24,12.6
2023-3-25,26.7
2023-3-26,41.5
2023-3-27,20.3
2023-3-28,1.7
2023-3-29,27.4
2023-3-3,20.1
2023-3-30,30.9
2023-3-31,26.8
2023-3-4,24.2
2023-3-5,24.9
2023-3-6,24.4
2023-3-7,29.8
2023-3-8,23.6
2023-3-9,26.9
2023-4-1,34.3
2023-4-10,17
2023-4-11,34.6
2023-4-13,23.1
2023-4-14,30.4
2023-4-15,31.2
2023-4-16,32.3
2023-4-17,10.3
2023-4-18,16.1
2023-4-19,23.8
2023-4-2,35.6
2023-4-20,19.9
2023-4-21,19.9
2023-4-22,26.8
2023-4-23,21.2
2023-4-24,16.3
2023-4-3,33.2
2023-4-4,44.8
2023-4-5,24
2023-4-6,23.7
2023-4-7,15.6
2023-4-8,34.5
2023-4-9,32
2023-5-17,19.6
2023-6-8,25.2
2023-7-17,17.8
2023-7-18,18.5
2023-7-19,18.3
2023-7-20,18.6
2023-7-21,22
2023-7-22,30.6
2023-7-23,20.3
2023-7-24,18
2023-7-25,32.4
2023-7-26,30.1
2023-7-27,31
2023-7-28,22.6
2023-7-29,16.2
2023-7-30,33.7
2023-7-31,31.3
2023-8-1,34.2
2023-8-10,16
2023-8-11,20.6
2023-8-12,13.3
2023-8-13,18.1
2023-8-14,23
2023-8-15,24.4
2023-8-16,22.7
2023-8-17,28.9
2023-8-18,18.6
2023-8-19,19.8
2023-8-2,22.6
2023-8-20,19.4
2023-8-21,26.7
2023-8-22,14.2
2023-8-23,10.5
2023-8-24,13.2
2023-8-25,23.8
2023-8-26,13.6
2023-8-27,21.1
2023-8-28,33.3
2023-8-29,16.1
2023-8-3,24.6
2023-8-30,29.3
2023-8-31,11.2
2023-8-4,30.6
2023-8-5,24.7
2023-8-6,23.5
2023-8-7,33.3
2023-8-8,24.8
2023-8-9,28.6
2023-9-1,26.7
2023-9-10,38.5
2023-9-11,28.2
2023-9-12,20
2023-9-13,27.2
2023-9-14,40.7
2023-9-15,13.8
2023-9-16,24.2
2023-9-17,19.3
2023-9-18,29.7
2023-9-19,22.5
2023-9-2,38.8
2023-9-20,27.5
2023-9-21,21.1
2023-9-22,20.9
2023-9-23,41.5
2023-9-24,20
2023-9-25,13
2023-9-26,38.7
2023-9-27,29.7
2023-9-28,33.3
2023-9-29,37.6
2023-9-3,40.7
2023-9-30,24.4
2023-9-4,34.6
2023-9-5,24
2023-9-6,15.9
2023-9-7,21.6
2023-9-8,23.5
2023-9-9,22.2
2024-1-1,25.2
2024-1-10,19.2
2024-1-11,18.3
2024-1-13,27.6
2024-1-14,17.7
2024-1-15,13.5
2024-1-17,16.9
2024-1-18,16.2
2024-1-2,11.7
2024-1-20,12.9
2024-1-21,12.3
2024-1-23,18.8
2024-1-3,13.6
2024-1-4,16.9
2024-1-5,16.3
2024-1-6,15.3
2024-1-7,12.7
2024-1-8,13.1
2024-1-9,20.9
