"Time","wdir {devid=""6867252545520000"", firmware_variant=""-v1""}"
2023-07-01 01:00:00,256
2023-07-01 02:00:00,253
2023-07-01 03:00:00,226
2023-07-01 04:00:00,220
2023-07-01 05:00:00,261
2023-07-01 06:00:00,233
2023-07-01 07:00:00,238
2023-07-01 08:00:00,240
2023-07-01 09:00:00,234
2023-07-01 10:00:00,230
2023-07-01 11:00:00,196
2023-07-01 12:00:00,119
2023-07-01 13:00:00,224
2023-07-01 14:00:00,168
2023-07-01 15:00:00,187
2023-07-01 16:00:00,198
2023-07-01 17:00:00,184
2023-07-01 18:00:00,195
2023-07-01 19:00:00,212
2023-07-01 20:00:00,229
2023-07-01 21:00:00,220
2023-07-01 22:00:00,224
2023-07-01 23:00:00,208
2023-07-02 00:00:00,207
2023-07-02 01:00:00,258
2023-07-02 02:00:00,268
2023-07-02 03:00:00,184
2023-07-02 04:00:00,208
2023-07-02 05:00:00,228
2023-07-02 06:00:00,204
2023-07-02 07:00:00,246
2023-07-02 08:00:00,216
2023-07-02 09:00:00,262
2023-07-02 10:00:00,234
2023-07-02 11:00:00,245
2023-07-02 12:00:00,239
2023-07-02 13:00:00,252
2023-07-02 14:00:00,244
2023-07-02 15:00:00,212
2023-07-02 16:00:00,232
2023-07-02 17:00:00,239
2023-07-02 18:00:00,279
2023-07-02 19:00:00,240
2023-07-02 20:00:00,236
2023-07-02 21:00:00,235
2023-07-02 22:00:00,232
2023-07-02 23:00:00,204
2023-07-03 00:00:00,243
2023-07-03 01:00:00,236
2023-07-03 02:00:00,230
2023-07-03 03:00:00,174
2023-07-03 04:00:00,186
2023-07-03 05:00:00,182
2023-07-03 06:00:00,171
2023-07-03 07:00:00,188
2023-07-03 08:00:00,208
2023-07-03 09:00:00,199
2023-07-03 10:00:00,247
2023-07-03 11:00:00,236
2023-07-03 12:00:00,230
2023-07-03 13:00:00,232
2023-07-03 14:00:00,231
2023-07-03 15:00:00,237
2023-07-03 16:00:00,233
2023-07-03 17:00:00,236
2023-07-03 18:00:00,238
2023-07-03 19:00:00,229
2023-07-03 20:00:00,221
2023-07-03 21:00:00,241
2023-07-03 22:00:00,228
2023-07-03 23:00:00,233
2023-07-04 00:00:00,244
2023-07-04 01:00:00,230
2023-07-04 02:00:00,218
2023-07-04 03:00:00,150
2023-07-04 04:00:00,170
2023-07-04 05:00:00,166
2023-07-04 06:00:00,117
2023-07-04 07:00:00,266
2023-07-04 08:00:00,132
2023-07-04 09:00:00,82.5
2023-07-04 10:00:00,190
2023-07-04 11:00:00,219
2023-07-04 12:00:00,184
2023-07-04 13:00:00,249
2023-07-04 14:00:00,218
2023-07-04 15:00:00,142
2023-07-04 16:00:00,144
2023-07-04 17:00:00,203
2023-07-04 18:00:00,215
2023-07-04 19:00:00,220
2023-07-04 20:00:00,203
2023-07-04 21:00:00,245
2023-07-04 22:00:00,227
2023-07-04 23:00:00,247
2023-07-05 00:00:00,244
2023-07-05 01:00:00,247
2023-07-05 02:00:00,239
2023-07-05 03:00:00,212
2023-07-05 04:00:00,174
2023-07-05 05:00:00,160
2023-07-05 06:00:00,225
2023-07-05 07:00:00,203
2023-07-05 08:00:00,212
2023-07-05 09:00:00,165
2023-07-05 10:00:00,116
2023-07-05 11:00:00,122
2023-07-05 12:00:00,166
2023-07-05 13:00:00,122
2023-07-05 14:00:00,161
2023-07-05 15:00:00,207
2023-07-05 16:00:00,252
2023-07-05 17:00:00,236
2023-07-05 18:00:00,230
2023-07-05 19:00:00,240
2023-07-05 20:00:00,249
2023-07-05 21:00:00,249
2023-07-05 22:00:00,238
2023-07-05 23:00:00,258
2023-07-06 00:00:00,253
2023-07-06 01:00:00,236
2023-07-06 02:00:00,250
2023-07-06 03:00:00,229
2023-07-06 04:00:00,203
2023-07-06 05:00:00,179
2023-07-06 06:00:00,265
2023-07-06 07:00:00,236
2023-07-06 08:00:00,210
2023-07-06 09:00:00,195
2023-07-06 10:00:00,144
2023-07-06 11:00:00,162
2023-07-06 12:00:00,227
2023-07-06 13:00:00,217
2023-07-06 14:00:00,178
2023-07-06 15:00:00,138
2023-07-06 16:00:00,143
2023-07-06 17:00:00,223
2023-07-06 18:00:00,230
2023-07-06 19:00:00,225
2023-07-06 20:00:00,268
2023-07-06 21:00:00,284
2023-07-06 22:00:00,232
2023-07-06 23:00:00,194
2023-07-07 00:00:00,189
2023-07-07 01:00:00,213
2023-07-07 02:00:00,160
2023-07-07 03:00:00,201
2023-07-07 04:00:00,212
2023-07-07 05:00:00,244
2023-07-07 06:00:00,278
2023-07-07 07:00:00,134
2023-07-07 08:00:00,188
2023-07-07 09:00:00,136
2023-07-07 10:00:00,112
2023-07-07 11:00:00,150
2023-07-07 12:00:00,168
2023-07-07 13:00:00,183
2023-07-07 14:00:00,210
2023-07-07 15:00:00,238
2023-07-07 16:00:00,217
2023-07-07 17:00:00,207
2023-07-07 18:00:00,229
2023-07-07 19:00:00,241
2023-07-07 20:00:00,259
2023-07-07 21:00:00,217
2023-07-07 22:00:00,198
2023-07-07 23:00:00,220
2023-07-08 00:00:00,193
2023-07-08 01:00:00,217
2023-07-08 02:00:00,238
2023-07-08 03:00:00,215
2023-07-08 04:00:00,308
2023-07-08 05:00:00,248
2023-07-08 06:00:00,176
2023-07-08 07:00:00,221
2023-07-08 08:00:00,210
2023-07-08 09:00:00,226
2023-07-08 10:00:00,216
2023-07-08 11:00:00,231
2023-07-08 12:00:00,182
2023-07-08 13:00:00,242
2023-07-08 14:00:00,180
2023-07-08 15:00:00,178
2023-07-08 16:00:00,201
2023-07-08 17:00:00,215
2023-07-08 18:00:00,220
2023-07-08 19:00:00,206
2023-07-08 20:00:00,227
2023-07-08 21:00:00,233
2023-07-08 22:00:00,233
2023-07-08 23:00:00,239
2023-07-09 00:00:00,229
2023-07-09 01:00:00,236

